ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย
40,ข้อใดคือยาเสพติดประเภทที่ 2 ,เฮโรอีน ยาบ้า,มอร์ฟีน โคเคน,อาเซติคแอนไฮไดรด์ อาเซติลคลอไรด์,ตำรับยาทั้งชนิดเม็ดและน้ำ,2,มอร์ฟีน และโคเคน คือยาเสพติดประเภทที่ 2 อันได้แก่ยาเสพติดให้โทษทั่วไป,ตอบ 2. มอร์ฟีน และโคเคน คือยาเสพติดประเภทที่ 2 อันได้แก่ยาเสพติดให้โทษทั่วไป
41,ข้อใดคือยาเสพติดประเภทที่ 3,กัญชา,อาเซติคแอนไฮไดรด์ อาเซติลคลอไรด์,ตำรับยาทั้งชนิดเม็ดและชนิดน้ำ,สารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษ,3,ตำรับยาทั้งชนิดเม็ดและน้ำ คือยาเสพติดประเภทที่ 3,ตอบ 3. ตำรับยาทั้งชนิดเม็ดและน้ำ คือยาเสพติดประเภทที่ 3
42,ข้อใดคือยาเสพติดประเภทที่ 4 ,เฮโรอีน ยาบ้า,มอร์ฟีน โคเคน,กัญชา,สารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษ,4,"เป็นสารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษประเภทที่ 1 และประเภทที่ 2 เช่น อาเซติคแอนไฮโดรด์
อาเซติลคลอไรด์ เป็นต้น","ตอบ 4. เป็นสารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษประเภทที่ 1 และประเภทที่ 2 เช่น อาเซติคแอนไฮโดรด์
อาเซติลคลอไรด์ เป็นต้น"
43,ข้อใดคือยาเสพตดประเภทที่ 5,กัญชา,อาเซติคแอนไฮไดรด์ อาเซติลคลอไรด์,ตำรับยาทั้งชนิดเม็ดและชนิดน้ำ,สารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษ,1,กัญชา คือยาเสพติดประเภทที่ 5 ที่ไม่อยู่ในประเภทที่ 1-4,ตอบ 1. กัญชา คือยาเสพติดประเภทที่ 5 ที่ไม่อยู่ในประเภทที่ 1-4
44,ปัญหาในข้อใดเกิดขึ้นจากการติดยาเสพติด,ปัญหาด้านสุขภาพกาย,ปัญหาด้านสุขภาพจิต,ปัญหาด้านความสัมพันธ์กับครอบครัว,ถูกทุกข้อ,4,"ถูกทุกข้อ ล้วนเป็นปัญหาที่เกิดขึ้นจากการติดยาเสพติด แต่ความจริงแล้วปัญหาที่เกิดขั้นจากการติดยาเสพติดมี
มากกว่านั้น เช่น ปัญหาอาชญากรรม ปัญหาสังคม ปัญหาเศรษฐกิจ เป็นต้น","ตอบ 4. ถูกทุกข้อ ล้วนเป็นปัญหาที่เกิดขึ้นจากการติดยาเสพติด แต่ความจริงแล้วปัญหาที่เกิดขั้นจากการติดยาเสพติดมี
มากกว่านั้น เช่น ปัญหาอาชญากรรม ปัญหาสังคม ปัญหาเศรษฐกิจ เป็นต้น"
45,"ข้อใดเป็นผลข้างเคียงมาจากการรับประทานยาแก้แพ้ ที่มักจะเกิดขึ้นกับคนส่วนใหญ่
ที่รับประทานเข้าไป",ง่วงนอน เชื่องซึม,สดชื่น แจ่มใส,มีพลัง ตื่นตัวตลอดเวลา,ถูกทุกข้อ,1,ผลข้างเคียงจากการรับประทานยาแก้แพ้ที่มักจะเกิดขึ้นกับคนส่วนใหญ่ก็คืออาการง่วงนอนเซื่องซีม,ตอบ 1. ผลข้างเคียงจากการรับประทานยาแก้แพ้ที่มักจะเกิดขึ้นกับคนส่วนใหญ่ก็คืออาการง่วงนอนเซื่องซีม
46,7 วันอันตรายในช่วงปีใหม่ ปี 2559 คือระหว่างวันที่เท่าใด,28 ธันวาคม 2558 ถึง 3 มกราคม 2559,29 ธันวาคม 2558 ถึง 4 มกราคม 2559,30 ธันวาคม 2558 ถึง 5 มกราคม 2559,31 ธันวาคม 2558 ถึง 6 มกราคม 2559,2,"29 ธันวาคม 2558 ถึง 4 มกราคม 2559 เพราะ 7 วันอันตรายในช่วงปีใหม่ ปี 2559 คือตั้งแต่วันอังคาร
ที่ 29 ธันวาคม 2558 ถึงวันจันทร์ที่ 4 มกราคม 2559","ตอบ 2. 29 ธันวาคม 2558 ถึง 4 มกราคม 2559 เพราะ 7 วันอันตรายในช่วงปีใหม่ ปี 2559 คือตั้งแต่วันอังคาร
ที่ 29 ธันวาคม 2558 ถึงวันจันทร์ที่ 4 มกราคม 2559"
47,เด็กแรกเกิดมีสิทธิได้รับเงินอุดหนุนเดือนละเท่าไร,300 บาท,400 บาท,500 บาท,600 บาท,2,400 บาท เพราะเด็กแรกเกิดมีสิทธิ์ได้รับเงินอุดหนุนเดือนละ 400 บาท,ตอบ 2. 400 บาท เพราะเด็กแรกเกิดมีสิทธิ์ได้รับเงินอุดหนุนเดือนละ 400 บาท
48,สิ่งใดที่มีคุณค่าต่อการดำรงชีวิต และสุขศึกษาของมนุษย์มากที่สุด,ทรัพยากรธรรมชาติ,แก้วแหวนเงินทอง,ยบ้าน ที่ดิน,รถยนต์,1,"ในการดำเนินชีวติประจำวันของมนุษย์ต้องพึ่งพาอาศัยสิ่งแวดล้อมทางธรรมชาติมากที่สุด เพื่อมำมาผลิตสินค้า
และบริการบำบัดความต้องการที่ไม่จำกัดของประชาชน","ตอบ 1. ในการดำเนินชีวติประจำวันของมนุษย์ต้องพึ่งพาอาศัยสิ่งแวดล้อมทางธรรมชาติมากที่สุด เพื่อมำมาผลิตสินค้า
และบริการบำบัดความต้องการที่ไม่จำกัดของประชาชน"
49,สินค้าประเภคใดที่อาจเป็นอันตรายต่อสุขภาพ ผู้บริโภคไม่ควรเลือกบริโภคมากที่สุด,นมกล่อง,น้ำอัดลม,ขนมขบเคี้ยว,ทั้งข้อ 2. และ 3. ,4,"น้ำอัดลม และขนมขบเคี้ยว หารรับประทานมากๆ จะส่งผลต่อร่างกาย และเป็นอันตรายต่อสุขภาพ น้ำอัดลม
อาจทำให้เป็นโรคอ้วน เบาหวาน นิ่ว กระดูกผุ ส่วนขนมขบเคี้ยวอาจำให้เป็นโรคอ้วนหรือมีน้ำหนักเกิน","ตอบ 4. น้ำอัดลม และขนมขบเคี้ยว หารรับประทานมากๆ จะส่งผลต่อร่างกาย และเป็นอันตรายต่อสุขภาพ น้ำอัดลม
อาจทำให้เป็นโรคอ้วน เบาหวาน นิ่ว กระดูกผุ ส่วนขนมขบเคี้ยวอาจำให้เป็นโรคอ้วนหรือมีน้ำหนักเกิน"
50,ประเทศใดได้ชื่อว่าจักการกับระบบขยะได้ดีที่สุด,อังกฤษ,ญี่ปุ่น,เยอรมนี,จีน,2,"ประเทศญี่ปุ่นได้ชื่อว่าจัการกับระบบขยะได้ดีที่สุด เพราะมีกฏหมายด้านการจัดการขยะโดยเฉพาะทุกภาคส่วน
ต้องมีส่วนร่วมในการรับผิดชอบการจัดการขยะ และกฏหมายดังกล่าวนำมาบังคับใช้ได้อย่างมีประสิทธิภาพ ส่งผลให้ประ
สบผลสำเร็จในด้านการกำจัดขยะสูงที่สุด","ตอบ 2. ประเทศญี่ปุ่นได้ชื่อว่าจัการกับระบบขยะได้ดีที่สุด เพราะมีกฏหมายด้านการจัดการขยะโดยเฉพาะทุกภาคส่วน
ต้องมีส่วนร่วมในการรับผิดชอบการจัดการขยะ และกฏหมายดังกล่าวนำมาบังคับใช้ได้อย่างมีประสิทธิภาพ ส่งผลให้ประ
สบผลสำเร็จในด้านการกำจัดขยะสูงที่สุด"
51,"ตามกฏหมายแรงงาน ได้บัญญัติ ""ห้ามมิให้คนทำงานในที่ที่มีเสียงเกิน 85 เดซิเบล
เป็นเวลานาน 8 ชั่วโมง ใน 5 วันของสัปดาห์"" ข้อใดสอดคล้องกับข้อความข้างต้น","คนงานใช้เวลาทำงานวันละ 8 ชั่วโมง ติดต่อกันถึง5 วัน ในที่ที่มีเสียงดัง
เกิน 85 เดซิเบลไม่ได้","คนงานจะทำงาน 8 ชั่วโมง ใน 5 วัน ในที่ที่มีเสียงดังเกินกว่า
85 เดซิเบลไม่ได้

","ในหนึ่งสัปดาห์คนงานสามารถทำงานวันละ 8 ชั่งโมง ติดต่อกัน
5 วัน ในที่ที่มีเสียงดังเกิน 85 เดซิเบลได้","ตคนงานอาจทำงานวันละ 8 ชั่วโมง ติดต่อกันถึง 5 วัน ในที่ที่มี
เสียงดังเกิน 85 เดซิเบลได้",1,คนงานใช้เวลาทำงานวันละ 8 ชั่วโมง ติดต่อกันถึง 5 วัน ในที่มีเสียงดังเกิน 85 เดซิเบลไม่ได้,ตอบ 1. คนงานใช้เวลาทำงานวันละ 8 ชั่วโมง ติดต่อกันถึง 5 วัน ในที่มีเสียงดังเกิน 85 เดซิเบลไม่ได้
52,"""อาหารหมักดองมีส่วนประกอบของเกลือและน้ำตาล จึงทำให้อาหารหมักดองมีโซเดียมสูง
และเป็นอันตรายต่อสุขภาพ หากรับประทานเข้าไปเป็นประจำ โซเดียมจะเข้าไปสะสม
อยู่ในร่างกาย ทำให้เสี่ยงต่อการเป็นโรคความดันโลหิตสูง ระบบปัสวะได้รับผลกระทบและ
ที่เป็นอันตรายที่สุดอาจเป็นโรคไหลตาย"" ข้อใดกล่าวถูกต้อง",ทานอาหารที่มีเกลือและน้าตาลเยอะๆ มีโอกาสเสี่ยงเป็นโรคไหลตาย,อาหารหมักดองมีประโยชน์ต่อผู้ที่เป็นโรคความดันต่ำ,เกลือและน้ำตาลมีส่วนประกอบของโซเดียม,อาหารหมักดองอาจเป็นสาเหตุของโรคความดันโลหิตสูง,2,อาหารหมักดองมีประโยชน์ต่อผู้ที่เป็นโรคความดันต่ำ,ตอบ 2. อาหารหมักดองมีประโยชน์ต่อผู้ที่เป็นโรคความดันต่ำ
53,"""มลภาวะส่วนใหญ่นั้นมาจากการใช้ถ่านหินเป็นเชื้อเพลิง ดังนั้นการปิดโรงไฟฟ้าย่อมสร้าง
การเปลี่ยนแปลงได้อย่างชัดเจนรวมทั้งการเปลี่ยนไปใช้พลังงานอย่างก๊าซธรรมชาติทดแทน
ก็จะสะอาดกว่าการใช้ถ่านหิน แม้ว่าอาจจะมีต้นทุนที่สูงขึ้นเล็กน้อย"" ข้อใดไม่ถูกต้อง",เชื้อเพลิงจากถ่านหินต้นทุนต่ำกว่าก๊าซธรรมชาติ,มลภาวะส่วนใหญ่มาจากโรงไฟฟ้าที่ใช้ถ่านหินเป็นเชื้อเพลิง,ก๊าซธรรมชาติให้มลภาวะน้อยกว่าถ่านหิน,ก๊าซธรรมชาติมีต้นทุนน้อยกว่าเชื้อเพลิงจากถ่านหิน,4,ก๊าซธรรมชาติมีต้นทุนน้อยกว่าเชื้อเพลิงจากถ่านหิน,ตอบ 4. ก๊าซธรรมชาติมีต้นทุนน้อยกว่าเชื้อเพลิงจากถ่านหิน
54,"""บุหรี่ 1 มวลมีสารก่อมะเร็ง 70 ชนิด สารพิษอื่น ๆ 250 ชนิด สารทั่วไปที่ก่อให้เกิดความ
ระคายเคืองสะสมและทำให้เกิดโรคมากถึง 7000 ชนิด ส่วน ""ควันบุหรี่มือสองมือสาม""
มีสารก่อมะเร็งเช่นเดี่ยวกับบุหรี่ ทำลายสิ่งแวดล้อมและคนรอบข้าง ในเด็กที่ได้รับควัน
มือสองตั้งแต่เล็ก ๆ อย่างสม่ำเสมอ โตขึ้นจะทำให้เป็นโรคเบาหวานได้ ส่วนควันบุหรี่มือสาม
จะติดตามเสื้อผ้า ผิวหนัง เส้นผม สภาพแวดล้อมในห้อง อย่างเช่น พรม โซฟา เป็นต้น
หากได้รับสม่ำเสมอในปริมาณมาก จะก่อให้เกิดโรคได้เช่นกัน"" ข้อใดไม่ถูกต้อง",ควันบุหรี่มือสองมือสามมีสารก่อมะเร็งเชนเดียวกับการสูบบุหรี่,กลิ่นบุหรี่ที่ติดตามเสื้อผ้าไม่ทำให้เกิดสารพิษ,บุหรี่ทำให้เกิดโรคได้มากถึง 7000 ชนิด,หากได้รับควันบุหรี่สม่ำเสมอ จะมีโอกาสเป็นโรคต่างๆ ได้,4,กลิ่นบุหรี่ที่ติดตามเสือ้ผ้าทไม่ทำให้เกิดสารพิษ,ตอบ 4. กลิ่นบุหรี่ที่ติดตามเสือ้ผ้าทไม่ทำให้เกิดสารพิษ
55,"""ไขมันในช่องท้องถือว่าเป็นอันตรายกว่าไขมันส่วนอื่นๆ ของร่างกายเพราะสามารถสลาย
เป็นกรดไขมันอิสระเข้าสู่กระแสเลือด และไปยับยั้งกระบวนการเผาผลาญกลูโคสใน
กล้ามเนื้อ ทำให้ระดับน้ำตาลในเลือดสูงขึ้น เกิดภาวะดื้อต่ออินซูลิน คนที่ลงพุงจึงเสี่ยง
ต่อโรคเบาหวาน ความดันโลหิตสูง ไขมันในเลือดสูง โรคหัวใจ กรดไหลย้อน เสื่อมสมรรถ
ทางเพศ ตลอดจนเสี่ยงต่อโรคมะเร็งบางชนิด ฯลฯ ข้อใดไม่ถูกต้อง",1.ไขมันในช่องท้องไม่สามารถย่อยสลายได้,เมื่อพลังงานจากอาหารมากพลังงานที่ร่างกายใช้ออกไปจะทำให้ลงพุง,เมื่อมีไขมันในช่องท้อง จะเสี่ยงต่อการเป็นโรคหัวใจ,คนที่ไม่ออกกำลังกายจะมีโอกาสเสื่อมสมถรรภาพทางเพศ,1,ไขมันในช่องท้องไม่สามารถสลายตัวได้,ตอบ 1. ไขมันในช่องท้องไม่สามารถสลายตัวได้
56,"""หากมีอาการของหวัดมีน้ำมูกใสๆ ไหลออกมา ควรรับประทานอาหารที่มีส่วนผสมของ
สมุนไพรรสเผ็ดร้อน เช่นพริกไทย ขิงสด กระเทียม เป็นต้น อาการคัดจมูก น้ำมูกไหลก็จะ
บรรเทาลง หากไอและมีเสมหะร่วมด้วย สามารถนำมะนาว หรือมะแว้ง มาทำให้ชุ่มคอ
ลดอาการไอ และขับเสมหะ โดยใช้ผลสดคั้นน้ำเข้มข้น ใส่เกลือลงไปเล็กน้อย จิบหรือ
ดื่มบ่อย ๆ ก็ได้ หรืออาจนำเนื้อฝักแก่ของมะชามที่มีรสเปรี้ยวจิ้มรับประทานพอสมควร
ก็ได้ เนื่องจากมะขามมีกรดอนินทรีย์เป็นส่วนประกอบ ทำให้มีฤทธิ์ระบายและลดความ
ร้อนของร่างกาย"" .. จากข้อมูลดังกล่าว สมุนไพรใดไม่มีฤทธิ์ลดการไอแบบมีเสมหะ",มะนาว,มะขาม,มะแว้ง,ขิงสด,4,สมุนไพรที่ไม่มีฤทธิ์ลดการไอแลลมีเสมหะได้กี ขิงสด,ตอบ 4. สมุนไพรที่ไม่มีฤทธิ์ลดการไอแลลมีเสมหะได้กี ขิงสด
57,ข้อสรุปใดต่อไปนี้ ไม่ถูกต้อง,มะขามเปรี้ยวสามารถลดความร้อนของร่างกายได้,2.กระเทียมเป็นสมุนไพรรสเผ็ดร้อน สามารถบรรเทาอาการหวัดได้,มะนาวช่วยบรรเทาอาการคัดจมูก น้ำมูกไหล,การทานขิงสดจะสามารถบรรเทาอาการคัดจมูก น้ำมูกไหลได้,3,เพราะมะนาวไม่สามารถช่วยบรรเทาอาการคัดจมูก น้ำมูกไหลได้,ตอบ 3. เพราะมะนาวไม่สามารถช่วยบรรเทาอาการคัดจมูก น้ำมูกไหลได้
58,วิธีการถนอมอาหารแบบสเตอริไลเซชั่นเป็นการทำลายจุลินทรีย์ตามข้อใด,เป็นการฆ่าจุลินทรีย์ให้ตายหมด,เป็นการทำลายจุลินทรีย์ได้ 65%,เป็นการทำลายจุลินทรีย์บางชนิดได้,เป็นการยับยั้งจุลินทรีย์ระยะเวลาหนึ่งเท่านั้น,1,เพราะการช้าความร้อนแบบสเตอริไลเซชั่นจะมีอุณหภูมิ 120 องศาเซลเซียส เป็นการฆ่าจุลินทรีย์ให้ตายได้ทั้งหมด,ตอบ 1. เพราะการช้าความร้อนแบบสเตอริไลเซชั่นจะมีอุณหภูมิ 120 องศาเซลเซียส เป็นการฆ่าจุลินทรีย์ให้ตายได้ทั้งหมด
59,อาหารในข้อใดจะย่อยได้ดีในกระเพาะอาหาร,ปลาปิ้งเกลือ,มันเชื่อม, ขนมปังทาเนย,ขนมมะพร้าวแก้ว,1,ปลาปิ้งเกลือให้สารอาหารโปรตีน และโปรตีนจะถูกย่อยได้ดีที่กระเพาะอาหาร,ตอบ 1. ปลาปิ้งเกลือให้สารอาหารโปรตีน และโปรตีนจะถูกย่อยได้ดีที่กระเพาะอาหาร
60,ก๊าซในข้อใดทำให้เกิดปรากฏการณ์เรือนกระจก,ก๊าซคาร์บอนไดออกไซด์,ก๊าซ CFC,ก๊าซบิวเทน, ก๊าซซับเฟอร์ไดออกไซด์,1,ก๊าซคาร์บอนไดออกไซด์ทำให้เกิดปรากฏการณ์เรือนกระจก,ตอบ 1. ก๊าซคาร์บอนไดออกไซด์ทำให้เกิดปรากฏการณ์เรือนกระจก
61,สารเคมีชนิดใดเป็นตัวทำลายโอโซนในชั้นบรรยากาศและให้เกิดปรากฏการณ์เรือนกระจก,ไนโตรเจน,ออกซิเจน,ซัลเฟอร์,คลอโรฟลูออโรคาร์บอน,4,สารคลอดรฟลูออโคคาร์บอนเป็นก๊าซที่มีอะตอมของธาติคลอรีนซึ่งเป็นตัวทำลายโมเลกุลของโอโซนในบรรยากาศ,ตอบ 4. สารคลอดรฟลูออโคคาร์บอนเป็นก๊าซที่มีอะตอมของธาติคลอรีนซึ่งเป็นตัวทำลายโมเลกุลของโอโซนในบรรยากาศ
62,เพราะเหตุใดจึงไม่ควรนำต้นไม้มาวางในห้องนอน,ต้นไม้ทำให้ห้องนอนมีอากาศเย็นจนเกินไป,ต้นไม้ทำให้ห้องนอนสกปรกรกรุงรัง,ต้นไม้ใช้ก๊าซคาร์บอนไดออกไซด์ และปล่อยก๊าซออกจิเจนออกมา,ต้นไม้ใช้ก๊าซออกซิเจน และปล่อยก๊าซคาร์บอนไดออกไซด์ออกมา,4,ต้นไม้คายคาร์บอนไดออกไซด์ในยามกลางคืน จึงไม่ควรนำต้นไม้ไว้ในห้องนอน,ตอบ 4. ต้นไม้คายคาร์บอนไดออกไซด์ในยามกลางคืน จึงไม่ควรนำต้นไม้ไว้ในห้องนอน
63,ข้อใดเป็นความสำคัญของป่าไม้ที่มีผลโดยตรงต่อมนุษย์มากที่สุด,เป็นแหล่งพักผ่อนหย่อนใจและแหล่งท่องเที่ยวที่สำคัญของประเทศ,เป็นแหล่งรักษาสมดุลธรรมชาติและให้ปัจจัยสี่ทั้งทางตรงและทางอ้อม,เป็นแหล่งที่อยู่อาศัยของสัตว์ป่าและเป็นแหล่งอาหารของมนุษย์,เป็นแหล่งที่อยู่ของทรัพยากรธรรมชาติที่สำคัญสำหรับมนุษย์ เหมาะ สำหรับศึกษาธรรมชาติ,2,"ความสำคัญของป่าไม้ ในด้านเป็นแหล่งรักษาสมดุลธรรมชาติและให้ปัจจัยที่ทั้งทางตรงและทางอ้อมที่มีผล
โดยตรงต่อมนุษย์มากที่สุด","ตอบ 2. ความสำคัญของป่าไม้ ในด้านเป็นแหล่งรักษาสมดุลธรรมชาติและให้ปัจจัยที่ทั้งทางตรงและทางอ้อมที่มีผล
โดยตรงต่อมนุษย์มากที่สุด"
64,ผู้ป่วยที่ถูกตัดตับออกไปจะมีปัญหาอย่างไร,ไม่สามารถย่อยอาหารที่มีแป้งได้,ไม่สามารถย่อยอาหารที่มีโปรตีน และแป้งได้,ไม่สามารถย่อยอาหารที่มีไขมันได้,ไม่สามารถย่อยอาหารที่มีกากใยได้,3,ไม่สามารถย่อยอาหารที่มีไขมันได้ เพราะตับมีหน้าที่ผลิตเอนไซม์ที่ใช้ย่อยไขมัน,ตอบ 3. ไม่สามารถย่อยอาหารที่มีไขมันได้ เพราะตับมีหน้าที่ผลิตเอนไซม์ที่ใช้ย่อยไขมัน
65,วิตามินในข้อใดถ้าขาดจะทำให้เป็นหมัน อาจทำให้แท้งได้,วิตามินซี,วิตามินอี,วิตามินเค,วิตามินบี 1,2,หากขาดวิตามินอีจะทำให้เป็นหมัน และอาจทำให้แท้งได้,ตอบ 2. หากขาดวิตามินอีจะทำให้เป็นหมัน และอาจทำให้แท้งได้
66,ยาเสพติดในข้อใดมีฤทธิ์ทำให้สมองมึนงง ประสาทชา ง่วงซึม หมดความเป็นตัวของตัวเอง,ยาบ้า กระท่อม,ฝิ่น มอร์ฟีน,เหล้าแห้ง เห็ดขี้ควาย,กัญชา แอมเฟตามีน,2,ฝิ่นและมอร์ฟีนมีฤทธิ์ทำให้สมองมึนงง ประสาทชา ง่วงซึม หมดความเป็นตัวของตัวเอง,ตอบ 2. ฝิ่นและมอร์ฟีนมีฤทธิ์ทำให้สมองมึนงง ประสาทชา ง่วงซึม หมดความเป็นตัวของตัวเอง
67,โรคพิษสุนัขบ้าอาจติดต่อได้จากสัตว์ต่อไปนี้ ยกเว้นข้อใด,วัว,แมว,ชะนี,นก,4,เพราะนกไม่ใช่สัตว์เลี้ยงลูกด้วยนม จึงไม่ติดโรคพิษสุนัขบ้า ซึ่งจะติดต่อกันได้ในสัตว์เลี้ยงลูกด้วยนม,ตอบ 4. เพราะนกไม่ใช่สัตว์เลี้ยงลูกด้วยนม จึงไม่ติดโรคพิษสุนัขบ้า ซึ่งจะติดต่อกันได้ในสัตว์เลี้ยงลูกด้วยนม
68,ข้อใดต่อไปนี้ คือจำนวนที่ถูกต้องของทีมวอลเล่ย์บอล 1 ทีม,ผู้เล่นไม่เกิน 8 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 2 คน เทรนเนอร์ 1 คน และแพทย์ 1 คน,ผู้เล่นไม่เกิน 10 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 1 คน เทรนเนอร์ 2 คน และแพทย์ 1 คน, ผู้เล่นไม่เกิน 12 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 1 คน เทรนเนอร์ 1 คน และแพทย์ 1 คน,ผู้เล่นไม่เกิน 14 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 2  คน เทรนเนอร์ 2 คน และแพทย์ 1 คน,3,"วอลเลย์บอล 1 ทีม ประกอบด้วยผู้เล่นไม่เกิน 12 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 1 คน เทรนเนอร์ 1 คน
และแพทย์ 1 คน","ตอบ 3. วอลเลย์บอล 1 ทีม ประกอบด้วยผู้เล่นไม่เกิน 12 คน ผู้ฝึกสอน 1 คน ผู้ช่วยผู้ฝึกสอน 1 คน เทรนเนอร์ 1 คน
และแพทย์ 1 คน"
69,จากข้อ 68 ในการแข่งขัน ทีมจะส่งผู้เล่นลงสนามได้ครั้งละกี่คน,ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 6 คน โดยแบ่งออกเป็หน้าตาข่าย 3 คน และด้านหลังอีก 3 คน,1. ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 8 คน โดยแบ่งออกเป็หน้าตาข่าย4 คน และด้านหลังอีก 4 คน,1. ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 10 คน โดยแบ่งออกเป็หน้าตาข่าย 5 คน และด้านหลังอีก 5 คน,ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 12 คน โดยแบ่งออกเป็หน้าตาข่าย 6 คน และด้านหลังอีก 6 คน,1,ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 6 คน โดยแบ่งออกเป็นหน้าต่าข่าย 3 คน และด้านหลังอีก 3 คน,ตอบ 1. ผู้เล่นจะลงเล่นในสนามได้ครั้งละ 6 คน โดยแบ่งออกเป็นหน้าต่าข่าย 3 คน และด้านหลังอีก 3 คน
70,ข้อใดคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล,จะมีผู้เล่นทั้งสองทีม ทีมละไม่เกิน 5 คนอยู่บนสนาม และหนึ่งใน 5 คนนี้ ต้องเป็นผู้รักษาประตู,อนุญาติให้มีผู้เล่นสำรองไม่เกิน 7 คน,อนุญาให้เปลี่ยนตัวผู้เล่นเมื่อไหร่ก็ได้ไม่จำกัดจำนวน สามารถเปลี่ยนตัวได้ตลอดเวลา,ถูกทุกข้อ,4,ถูกทุกข้อคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล,ตอบ 4. ถูกทุกข้อคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล
71,ข้อใดคือขนาดถูกต้องของสนามฟุตซอล,"สนามแข่งขันต้องเป็นรูปสี่เหลี่ยมผืนผ้า กว้างประมาณ 100-130 หลา ส่วนด้านกว้าง กว้าง
ประมาณ 50 - 100 หลา โดยแบ่งเขตแดนออกเป็น 2 ฝั่ง อย่างละเท่าๆ กัน มีประตูขนาดกว้าง
8 หลา สูง 8 ฟุต มีเขตโทษซึ่งนับห่างจากโกล ห่าง 18 หลา","สนามแข่งขันต้องเป็นรูปสี่เหลี่ยมผืนผ้า ความยาวเส้นข้างต้องยาวกว่าความยาวเส้นประตู
โดยสนามมีความยาวต่ำสุด 25 เมตร สูงสุด 42 เมตร ความกว้างต่ำสุด 15 เมตร สูงสุด 25 เมตร","สนามเป็นรูปสีเหลี่ยมผืนผ้า กว้าง 16 เมตร (เส้นหลัง) ยาว 32 เมตร (เส้นข้าง) สนามแบ่งเป็น
สองส่วนเท่าๆกัน ด้วยเส้นแบ่งแดน ขนาดสนามนี้จะเปลี่ยนแปลงได้ตามความเหมาะสม โดยมี
บริเวณเขตรอบสนามอย่างน้อย 1 เมตร ถ้าเป็นสนามในร่ม ความสูงจากพื้นสนามขึ้นไปไม่ควร
น้อยกว่า 6 เมตร","ขนาดสี่เหลี่ยมผืนผ้า ยาว 40 เมตร กว้าง 20 เมตร มีเส้นรอบสนามและเขตประตู โดยประตูจะต้อง
มีขนาดสูง 2 เมตร กว้าง 3 เมตร ตั้งอยู่ทั้งสองฝั่ง มีพื้นที่รอบสนามห่างจากเส้นขอบสนามอย่างน้อย
 1 เมตร  ห่างจากหลังประตู 2 เมตร",2,ขนาดที่ถูกต้องของสนามฟุตซอลคือ ข้อ2,ตอบ 2. ขนาดที่ถูกต้องของสนามฟุตซอลคือ ข้อ2
72,ข้อใดคือกฏกติการที่ถูกต้องของการแข่งขันกีฬาฟุตบอล,มีจำนวนฝั่งละ 11 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 12 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 12 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 14 คน โดยที่เป็นผู้รักษาประตู 1 คน,1,กฏกติกาที่ถูกต้องของการแข่งขันกีฬาฟุตบอลคือ ต้องมีผู้เล่นฝั่งละ 11 คน โดยมีผู้รักษาประตู 1 คน,ตอบ 1. กฏกติกาที่ถูกต้องของการแข่งขันกีฬาฟุตบอลคือ ต้องมีผู้เล่นฝั่งละ 11 คน โดยมีผู้รักษาประตู 1 คน
