ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย,,,,,,,,,
31,ประเทศใดในภูมิภาคเอเชียตะวันออกเฉียงใต้ที่ประชากรมีความเชื่อทางศาสนาแตกต่างไปจากประเทศอื่นมากที่สุด,ประเทศมาเลเชีย,ประเทศบรูไน,ประเทศอินโดนีเชีย,ประเทศฟิลิปินส์,4,"  ประเทศฟิลิปินส์  เพราะประเทศฟิลิปินส์เป็นชาติเดียวที่ประชาชนส่วนใหญ่จะนับถือศาสนาคริสต์ ซึ่งรับมา
จากชาติตะวันตก จึงถือเป็นความเชื่อทางด้านศาสนาที่แตกต่งจากประเทศอื่น","ตอบ 4.   ประเทศฟิลิปินส์  เพราะประเทศฟิลิปินส์เป็นชาติเดียวที่ประชาชนส่วนใหญ่จะนับถือศาสนาคริสต์ ซึ่งรับมา
จากชาติตะวันตก จึงถือเป็นความเชื่อทางด้านศาสนาที่แตกต่งจากประเทศอื่น",,,,,,,,,
32,การก่อตั้งสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้เกิดขึ้นภายหลังเหตุการณ์ใด,การสิ้นสุดของสงครามโลกครั้งที่1,การสิ้นสุดของสงครามโลกครั้งที่ 2,การล่มสลายของสหภาพโซเวียต,การสิ้นสุดสงครามเย็น,2," การสิ้นสุดของสงครามโลกครั้งที่ 2  เพราะการต่อตั้งสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ เกิดขึ้น
ในปี พ.ศ.  2510  โดยลงนามกันที่กรุงเทพมหานคร เรียกว่า ปฏิญญากรุงเทพ เป็นระยะเวลาสิ้นสงครามโลกครั้งที่ 2","ตอบ 2.  การสิ้นสุดของสงครามโลกครั้งที่ 2  เพราะการต่อตั้งสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ เกิดขึ้น
ในปี พ.ศ.  2510  โดยลงนามกันที่กรุงเทพมหานคร เรียกว่า ปฏิญญากรุงเทพ เป็นระยะเวลาสิ้นสงครามโลกครั้งที่ 2",,,,,,,,,
33,สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้ได้พันาความร่วมมือทางด้านเศรษฐกิจต่อกันไปถึงขั้นใด,เขตการค้าเสรี,ตลาดร่วม,สหภาพเศรษฐกิจ,สหภาพศุลกากร,1,"เขตการค้าเสรี เพราะในปี พ.ศ. 2535 ประเทศมาชิกอาเซียนได้ตกลงร่วมกันจัดตั้งเขตการค้าเสรี เพื่อส่งเสริม
ทางด้านการค้าและการลงทุนของสมาชิกให้เพิ่มขึ้น  และลดอุปสรรทางการค้าระหว่างกันให้น้อยที่สุด","ตอบ 1. เขตการค้าเสรี เพราะในปี พ.ศ. 2535 ประเทศมาชิกอาเซียนได้ตกลงร่วมกันจัดตั้งเขตการค้าเสรี เพื่อส่งเสริม
ทางด้านการค้าและการลงทุนของสมาชิกให้เพิ่มขึ้น  และลดอุปสรรทางการค้าระหว่างกันให้น้อยที่สุด",,,,,,,,,
34,การแลกเปลี่ยนศิลปวัฒนธรรมระหว่างกันของสมาชิกอาเซียนเป็นความร่วมมือกันทางด้านใด,ทางด้านการศึกษา,ทางด้านวัฒนธรรม,3.ทางด้านศาสนา,ทางด้านศิลปกรรม,2,"  ทางด้านวัฒนธรรม เพราะถือเป็นความร่วมมือกันทางด้านวัฒนธรรมที่สมาชิกจะนำวัฒนธรรมที่ดีงาม
ของชาติตนไปเผยแพร่","ตอบ 2.   ทางด้านวัฒนธรรม เพราะถือเป็นความร่วมมือกันทางด้านวัฒนธรรมที่สมาชิกจะนำวัฒนธรรมที่ดีงาม
ของชาติตนไปเผยแพร่",,,,,,,,,
35,พระมหากษัตริย์พระองค์ใดที่ผู้สถาปนากรุงรัตนโกสินทร์ขึ้น,พระบาทสมเด็จพระพุทธเลิศหล้านภาลัย,พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลก,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,2,  พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลก  เพราะพระองค์เป็นผู้สถาปนากรุงรันตโกสินทร์,ตอบ 2.   พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลก  เพราะพระองค์เป็นผู้สถาปนากรุงรันตโกสินทร์,,,,,,,,,
36,ปัจจัยที่ส่งเสริมให้เศรษฐกิจของกรุงรัตนโกสินทร์มีความเจริญรุ่งเรืองมากที่สุดคือข้อใด,ปัจจัยในทางด้านทำเลที่ตั้ง,ปัจจัยทางด้านภูมิศาสตร์,ปัจจัยทางด้านภูมิความรู้,ปัจจัยทางด้านความสัมพันธ์กับต่างประเทศ,1," ปัจจัยในทางด้านทำเลที่ตั้ง เพราะที่ตั้งบนที่ราบลุ่มแม่น้ำมีความอุดมสมบูรณ์มีปริมาณน้ำเพียงพอต่อการ
อุปโภคบริโภค เป็นเมืองท่าทีสะดวกในการติดต่อค้าขายกับต่างประเทศ","ตอบ 1.  ปัจจัยในทางด้านทำเลที่ตั้ง เพราะที่ตั้งบนที่ราบลุ่มแม่น้ำมีความอุดมสมบูรณ์มีปริมาณน้ำเพียงพอต่อการ
อุปโภคบริโภค เป็นเมืองท่าทีสะดวกในการติดต่อค้าขายกับต่างประเทศ",,,,,,,,,
37,สังคมในสมัยรัตนโกสินทร์ตอนต้นไม่ได้กำหนดศักดินาให้แก่ชนชั้นใด,ชนชั้นเจ้านาย,ชนชั้นพระมหากษัตริย์,ชนชั้นพระสงฆ์,ชนชั้นไพร่,2, ชนชั้นพระมหากษัตริย์ เพราะถือว่าแผ่นดินทุกส่วนเป็นของพระองค์ท่าน ซึ่งจะพระราชทานให้แก่ใครก็ได้,ตอบ 2.  ชนชั้นพระมหากษัตริย์ เพราะถือว่าแผ่นดินทุกส่วนเป็นของพระองค์ท่าน ซึ่งจะพระราชทานให้แก่ใครก็ได้,,,,,,,,,
38,"""การจักตั้งเมืองทดลองประชาธิปไตย"" เป็นการพัฒนาทางการเมืองที่เกิดขึ้นในรัชสมัยพระมหากษัตริย์พระองค์ใดของกรุงรัตนโกสินทร์",รัชกาลที่ 5 ,รัชกาลที่ 6,รัชกาลที่ 7,รัชกาลที่ 8,2," รัชกาลที่ 6 เพราะเพื่อฝึกให้คนไทยมีความรู้ความเข้าใจในการปกครองระบอบประชาธิปไตย มากขึ้น
จึงทรงจัดตั้งเมืองทดลองประชาธิปไตยหรือดุสิตธานีขึ้นในปี พ.ศ. 2461","ตอบ 2.  รัชกาลที่ 6 เพราะเพื่อฝึกให้คนไทยมีความรู้ความเข้าใจในการปกครองระบอบประชาธิปไตย มากขึ้น
จึงทรงจัดตั้งเมืองทดลองประชาธิปไตยหรือดุสิตธานีขึ้นในปี พ.ศ. 2461",,,,,,,,,
39,ภูมิปัญญาไทยด้านสถาปัตยกรรมในสมัยรัตนโกสินทร์ตอนต้นเกี่ยวข้องกับเรื่องใดมากที่สุด,พระมหากษัตริย์,พระพุทธศาสนา,ศาสนาฮินดู,วิญญาณของบรรพบุรุษ,2," พระพุทธศาสนา  เพราะได้รับการถ่ายทองทางความคิดมาจากสมัยอยุธยา เป็นความคิดทีเกี่ยวข้องกับพระพุทธ-
ศาสนาอย่างใกล้ชิด เช่น การสร้างโบราณสถานและโบราณวัตถุทางพระพุทธศาสนา","ตอบ 2.  พระพุทธศาสนา  เพราะได้รับการถ่ายทองทางความคิดมาจากสมัยอยุธยา เป็นความคิดทีเกี่ยวข้องกับพระพุทธ-
ศาสนาอย่างใกล้ชิด เช่น การสร้างโบราณสถานและโบราณวัตถุทางพระพุทธศาสนา",,,,,,,,,
40,เหตุใดศิลปกรรมรัตนโกสินทร์สมัยปฏิรูปประเทศจึงรับอารยธรรมตะวันตกเข้ามาในการดำเนินชีวิตอย่างมาก,เป็นศิลปกรรมที่ทันสมัย,เป็นการปรับตัวเพื่อให้รอดพ้นจากภัยคุกคามจากชาติตะวันตก,พระมหากษัตริย์ชื่อชอบศิลปกรรมแบบตะวันตก,เป็นศิลปกรรมที่สะท้อนความเป็นจริงในชีวิต,2,"เป็นการปรับตัวเพื่อให้รอดพ้นจากภัยคุกคามจากชาติตะวันตก เพราะต้องการปรับตัวให้ทันกับการเปลี่ยนแปลง
ไม่ให้ชาติตะวันตกมาใช้เป็นข้ออ้างในการเข้ามายึดครองประเทศ เป็นเหตุการ์ในสมัยรัชกาลที่ 4-6 แห่งกรุงรัตนโกสินทร์","ตอบ 2. เป็นการปรับตัวเพื่อให้รอดพ้นจากภัยคุกคามจากชาติตะวันตก เพราะต้องการปรับตัวให้ทันกับการเปลี่ยนแปลง
ไม่ให้ชาติตะวันตกมาใช้เป็นข้ออ้างในการเข้ามายึดครองประเทศ เป็นเหตุการ์ในสมัยรัชกาลที่ 4-6 แห่งกรุงรัตนโกสินทร์",,,,,,,,,
41,รูปแบบทางด้านเศรษฐกิจของรัตนโกสินทร์ตอนต้น รัชกาลที่ 1 ยึดรูปแบบมาจากที่ใด,ชาติตะวันตก,อยุธยาตอนต้น,อยุธยาตอนปลาย,ประเทศจีน,3," อยุธยาตอนปลาย  เพราะเป็นรูปแบบการค้าแบบผูกขาดโดยพระคลังสินค้า เป็นเศรษฐกิจเพื่อยังชีพ 
ใช้เงินพดด้วงเป็นสื่อกลางในการค้าขาย และตลาดการค้าที่สำคัญ คือประเทศจีน","ตอบ 3.  อยุธยาตอนปลาย  เพราะเป็นรูปแบบการค้าแบบผูกขาดโดยพระคลังสินค้า เป็นเศรษฐกิจเพื่อยังชีพ 
ใช้เงินพดด้วงเป็นสื่อกลางในการค้าขาย และตลาดการค้าที่สำคัญ คือประเทศจีน",,,,,,,,,
42,"""แผนที่รัฐกิจ"" เป็นแผนที่แสดงลักษณะของสิ่งใด",เชิ้อชาติของประชาชน,เขตการปกครองของรัฐ,แสดงเศรษฐกิจด้านต่างๆ ของรัฐ,แสดงจำนวนประชากรภายในรัฐ,2,"เขตการปกครองของรัฐ เพราะเป็นแผนที่แสดงลักษณะเขตการเมืองและการปกครองของรัฐ  เช่น  แผนที่
การแบ่งเขตอำเภอ  เขตจังหวัด  เป็นต้น","ตอบ 2. เขตการปกครองของรัฐ เพราะเป็นแผนที่แสดงลักษณะเขตการเมืองและการปกครองของรัฐ  เช่น  แผนที่
การแบ่งเขตอำเภอ  เขตจังหวัด  เป็นต้น",,,,,,,,,
43,สิ่ใดงที่ไม่ใช่องค์ประกอบของแผนที่,ชื่อของแผนที่,ขอนระวางของแผนที่,ทิศทางของแผนที่,ขนาดของแผนที่,4," ขนาดของแผนที่ เพราะองค์ประกลอของแผนที่ประกอบด้วยชื่อของแผนที่ ขอบระวางของแผนที่ ทิศทางของ
แผนที่ มาตราส่วนของแผนที่ และคำอธิบายสัญลักษณ์ในแผนที่","ตอบ 4.  ขนาดของแผนที่ เพราะองค์ประกลอของแผนที่ประกอบด้วยชื่อของแผนที่ ขอบระวางของแผนที่ ทิศทางของ
แผนที่ มาตราส่วนของแผนที่ และคำอธิบายสัญลักษณ์ในแผนที่",,,,,,,,,
44,ปัญหาอุทกภัยที่เกิดจากอิทธิพลของลมมรสุมตะวันออกเฉียงเหนือส่งผลกระทบทำให้เกิดปัญหาน้ำท่วมในภาคใดมากที่สุด,ภาคตะวันออก,ภาคตะวันตก,ภาคใต้ฝั่งตะวันออก,ภาคใต้ฝั่งตะวันตก,3," ภาคใต้ฝั่งตะวันออก  เพราะเป็นลมหนาวที่พัดมาจากประเทศจีนในฤดูหนาว และเมื่อพัดลงสู่ทะเลจะนำฝน
ไปตกในเขตภาคใต้ฝั่งตะวันออกของไทย","ตอบ 3.  ภาคใต้ฝั่งตะวันออก  เพราะเป็นลมหนาวที่พัดมาจากประเทศจีนในฤดูหนาว และเมื่อพัดลงสู่ทะเลจะนำฝน
ไปตกในเขตภาคใต้ฝั่งตะวันออกของไทย",,,,,,,,,
45,อาชีพใดที่เหมาะสมกับลักษณะภูมิลักษณ์ของประเทศไทยมากที่สุด,อาชีพเกษตรกรรม,อาชีพอุตสาหกรรม,อาชีบริการ,อาชีพรับราชการ,1,"อาชีพเกษตรกรรม  เพราะภูมิลักษณ์ของประเทศไทยตั้งอยู่ในเขตร้อน ในฤดูฝนมีฝนตกชุก ทำให้มีน้ำเพียงพอ
ที่จะประกอบอาชีพเกษตรกรรม","ตอบ 1. อาชีพเกษตรกรรม  เพราะภูมิลักษณ์ของประเทศไทยตั้งอยู่ในเขตร้อน ในฤดูฝนมีฝนตกชุก ทำให้มีน้ำเพียงพอ
ที่จะประกอบอาชีพเกษตรกรรม",,,,,,,,,
46,"""การนับถือศาสนา"" จัดเป็นสิ่งแวดล้อมประเภทใด",สิ่งแวดล้อมที่มีความจำเป็น,สิ่งแวดล้อมประเภทสิ้นเปลือง,สิ่งแวดล้อมทางธรรมชาติ,สิ่งแวดล้อมทางสังคม,4,"สิ่งแวดล้อมทางสังคม เพราะศาสนาเป็นสิ่งที่เป็นนามธรรม สร้างขึ้นมาเพื่อให้เป็นที่พึ่งทางใจ 
ของมนุษย์ให้ทุกคนอยู่ร่วมกันในสังคมได้อย่างมีความสุข","ตอบ 4. สิ่งแวดล้อมทางสังคม เพราะศาสนาเป็นสิ่งที่เป็นนามธรรม สร้างขึ้นมาเพื่อให้เป็นที่พึ่งทางใจ 
ของมนุษย์ให้ทุกคนอยู่ร่วมกันในสังคมได้อย่างมีความสุข",,,,,,,,,
47,สภาพแวดล้อมทางธรรมชาติเป็นภูเขาสูงสลับซับซ้อนเป็นเขตอับฝน มีปริมาณฝนตกน้อย จัดเป็นสิ่งแวดล้อมของภาคใด,ภาคตะวันออก,ภาคตะวันตก,ภาคใต้ฝั่งตะวันออก,ภาคเหนือ,2," ภาคตะวันตก เพราะพื้นที่เป็นที่ราบสูงและภูเขาสลับซับซ้อน โดยภูเขาจะวางตัวกันตามแนวเหนือใต้
กั้นทิศทางลมมรสุมตะวันตกเฉียงใ ทำให้เป็นเขตเงาฝน มีปริมาณฝนน้อย","ตอบ 2.  ภาคตะวันตก เพราะพื้นที่เป็นที่ราบสูงและภูเขาสลับซับซ้อน โดยภูเขาจะวางตัวกันตามแนวเหนือใต้
กั้นทิศทางลมมรสุมตะวันตกเฉียงใ ทำให้เป็นเขตเงาฝน มีปริมาณฝนน้อย",,,,,,,,,
48,"""ภาวะเรือนกระจก"" เป็นภาวะที่อุณหภูมิของโลกเพิ่มสูงขึ้นอย่างรวดเร็ว ใครที่จะได้รับผลกระทบมากที่สุด",กรรมกรที่ทำงานกลางแจ้ง,เกษตรกรที่ทำงานในที่ไร่ที่นา,แรงงานในโรงงาน,ประชาชนทุกคน,4,"ประชาชนทุกคน เพราะเป็นภาวะที่อุณหภูมิของโลกสูงขึ้นเรื่อยๆ เป็นผลมาจากมลพิษต่างๆ ดังนั้นประชาชน
ทุกคนจะเป็นผู้ที่ได้รับผลกระทบจากภาวะเรือนกระจกมากที่สุด","ตอบ 4. ประชาชนทุกคน เพราะเป็นภาวะที่อุณหภูมิของโลกสูงขึ้นเรื่อยๆ เป็นผลมาจากมลพิษต่างๆ ดังนั้นประชาชน
ทุกคนจะเป็นผู้ที่ได้รับผลกระทบจากภาวะเรือนกระจกมากที่สุด",,,,,,,,,
49,ความต้องการในลักษณะใดของมนุษย์ที่ส่งผลทำให้เกิดการเปลี่ยนแปลงทางวัฒนธรรม,มีความต้องการที่จำกัด,มีความต้องการที่ไม่จำกัด,มีความต้องการสินค้าที่จำเป็นต่อการดำรงชีพเท่านั้น,มีความต้องการสินค้าฟุ่มเฟือยมากขึ้น,2," มีความต้องการที่ไม่จำกัด เพราะเป็นการเปลี่ยนแปลงทางด้านวิถีการดำเนินชีวิตของมนุษย์ อันเป็นผลจากการ
ที่มนุษย์มีความต้องการที่ไม่จำกัด ทำให้มีการคิดค้นสร้างสรรค์ และมีการประดิษฐ์เครื่องมือใช้เพื่ออำนวยความสะดวก
แก่การดำเนินชีวิต","ตอบ 2.  มีความต้องการที่ไม่จำกัด เพราะเป็นการเปลี่ยนแปลงทางด้านวิถีการดำเนินชีวิตของมนุษย์ อันเป็นผลจากการ
ที่มนุษย์มีความต้องการที่ไม่จำกัด ทำให้มีการคิดค้นสร้างสรรค์ และมีการประดิษฐ์เครื่องมือใช้เพื่ออำนวยความสะดวก
แก่การดำเนินชีวิต",,,,,,,,,
50,การอนุรักษ์ทรัพยากรในชุมชนจะประสบผลสำเร็จหากได้รับความร่วมมือจากใคร,หน่วยงานของทางราชการ,นักการเมืองในท้องถิ่น,ประชาชนในท้องถิ่น,องค์กรบริหารส่วนท้องถิ่น,3," ประชาชนในท้องถิ่น เพราะการอนุรักษ์ทรัพยากรในชุมชนจะประสบผลสำเร็จได้ต้องได้รับความร่วมมือ
จากประชาชนในท้องถิ่น ดดยมีการสร้างจิตสำนึกทางด้านสิ่งแวดล้อมให้แก่ประชาชนในท้องถิ่น ให้เกิดความรู้สึก
เป็นเจ้าของทรัพยกรร่วมกันทุกคน","ตอบ 3.  ประชาชนในท้องถิ่น เพราะการอนุรักษ์ทรัพยากรในชุมชนจะประสบผลสำเร็จได้ต้องได้รับความร่วมมือ
จากประชาชนในท้องถิ่น ดดยมีการสร้างจิตสำนึกทางด้านสิ่งแวดล้อมให้แก่ประชาชนในท้องถิ่น ให้เกิดความรู้สึก
เป็นเจ้าของทรัพยกรร่วมกันทุกคน",,,,,,,,,
51,การที่บุคคลมีสติในการถาม เป็นลักษณะที่ถูกต้องในข้อใด,การถามในเรื่องทั่วไป,การถามในเรื่องส่วนตัว,การถามข้อที่สงสัย,การรู้ว่ากำลังถามเรื่องใด,4,"การรู้ว่ากำลังถามเรื่องใด  เพราะเมื่อไม่เข้าใจในสิ่งใดก็ตามให้ถามเรื่องนั้น โดยในการถามต้องมีสติรู้ว่ากำลงถาม
ในเรื่องใดอยู่","ตอบ 4. การรู้ว่ากำลังถามเรื่องใด  เพราะเมื่อไม่เข้าใจในสิ่งใดก็ตามให้ถามเรื่องนั้น โดยในการถามต้องมีสติรู้ว่ากำลงถาม
ในเรื่องใดอยู่",,,,,,,,,
52,ประโยชน์ที่ได้รับจากการฝึกบริหารจิตและการเจริญปัญญาข้อใดถูกต้อง,มีตำแหน่งการงานที่สูงขึ้น,มีผู้นิยมนับถือมากขึ้น,มีฐานะทางเศรษฐกิจที่ดีขึ้น,มีสุขภาพจิตที่ดีขึ้น,4," มีสุขภาพจิตที่ดีขึ้น เพราะประโยชน์ของการบริหารจิตและเจริญปัญญาทำให้สุขจิตของเราดีขึ้น เป็นจิตที่มีความ
สงบ ผ่อนคลาย มีสมาธิ สามารถแก้ปัญหาต่างๆ ที่เกิดขึ้นในชีวิตประจำวันได้อย่างรอบคอบ","ตอบ 4.  มีสุขภาพจิตที่ดีขึ้น เพราะประโยชน์ของการบริหารจิตและเจริญปัญญาทำให้สุขจิตของเราดีขึ้น เป็นจิตที่มีความ
สงบ ผ่อนคลาย มีสมาธิ สามารถแก้ปัญหาต่างๆ ที่เกิดขึ้นในชีวิตประจำวันได้อย่างรอบคอบ",,,,,,,,,
53,"ในหลักคำสอนเรื่อง ""การไม่ทำชั่วทั้งปวง"" เกี่ยวกับหลักธรรมในข้อใด",ขันติ-โสรัจจะ,กตัญญู-กตเวที,โอวาท 3 ,เบญจศีล-เบญจธรรม,3," โอวาท 3 เพราะเป็นการสอนเรื่องการไม่ทำบาปทั้งปวง เช่น การไม่ทำบาปทั้งปวงการทำกุศลให้ถึงพร้อม และ
การทำจิตใจตนให้ผ่องใส","ตอบ 3.  โอวาท 3 เพราะเป็นการสอนเรื่องการไม่ทำบาปทั้งปวง เช่น การไม่ทำบาปทั้งปวงการทำกุศลให้ถึงพร้อม และ
การทำจิตใจตนให้ผ่องใส",,,,,,,,,
54,ในการทำละหมาดของชาวมุสลิมที่นับถือศาสนาอิสลามนั้นมีจุดมุ่งหมายสำคัญในข้อใด,แสดงถึงความศรัทธาในศาสนา,แสดงถึงความเคารพต่อพระศาสดา,แสดงความเคารพต่อพระเจ้า,แสดงถึงความสามัคคีของชาวมุสลิม,3," แสดถึงความเคารพต่อพระเจ้า เพราะการละหมาดของชาวมุสลิมต้องปฏิบัติวันละ 5 เวลา คือ เวลาย่ำรุ่ง 
กลางวัน เย็น พลบค่ำ และเวลากลางคืน อันมีจุดมุ่งหมายเพื่อเป็นการแสงดความเคารพต่อพระเจ้า","ตอบ 3.  แสดถึงความเคารพต่อพระเจ้า เพราะการละหมาดของชาวมุสลิมต้องปฏิบัติวันละ 5 เวลา คือ เวลาย่ำรุ่ง 
กลางวัน เย็น พลบค่ำ และเวลากลางคืน อันมีจุดมุ่งหมายเพื่อเป็นการแสงดความเคารพต่อพระเจ้า",,,,,,,,,
55,คัมภีร์ในศาสนาอิสลามมีชื่อว่าอย่างไร,พระเวท,พระไตรปิฏก,ไบเบิล,อัลกุรอาน,4," อัลกุรอาน  เพราะเป็นคัมภีร์สุดท้ายที่สมบูรณืที่สุดที่พระเจ้าได้ประทานลงนามแก่มนุษย์ผ่านทางศาสดา
นบีมูฮัมหมัด","ตอบ 4.  อัลกุรอาน  เพราะเป็นคัมภีร์สุดท้ายที่สมบูรณืที่สุดที่พระเจ้าได้ประทานลงนามแก่มนุษย์ผ่านทางศาสดา
นบีมูฮัมหมัด",,,,,,,,,
56,ในการทำบุญในงานมงคลนั้น เจ้าภาพจะต้องไม่จัดเตรียมสิ่งใด,นิมนต์พระสงฆ์,ดอกไม้,ธูปเทียน,สายสิญจน์,4," สายสิญจน์  เพราะการทำบุญในงานมงคลจะตอ้งจัดเตรียมธูป เทียน ดอกไม้ และนิมนต์พระสงฆ์
เป็นจำนวนคู่ โดยไม่ต้องจัดเตรียมสายสิญจน์","ตอบ 4.  สายสิญจน์  เพราะการทำบุญในงานมงคลจะตอ้งจัดเตรียมธูป เทียน ดอกไม้ และนิมนต์พระสงฆ์
เป็นจำนวนคู่ โดยไม่ต้องจัดเตรียมสายสิญจน์",,,,,,,,,
57,ในการแสดงความเคารพนอบน้อมต่อพระรัตนตรัยสามารถทำได้โดยวิธีใด,การตั้งโต๊ะหมู่บูชา,การทำความสะอาดบริเวณวัด,การสวดมนต์ไหว้พระ,การถวายปัจจัยแด่พระสงฆ์,3,"การสวดมนต์ไหว้พระ เพราะการแสดงความเคารพนอบน้อมต่อพระรัตนตรัยสามารถทำได้โดยการ
สวดมนต์ไหว้พระและทำจิตใจให้สะอาดบริสุทธิ์","ตอบ 3. การสวดมนต์ไหว้พระ เพราะการแสดงความเคารพนอบน้อมต่อพระรัตนตรัยสามารถทำได้โดยการ
สวดมนต์ไหว้พระและทำจิตใจให้สะอาดบริสุทธิ์",,,,,,,,,
58,"""มะยัง ภันเต วิสุง วิสุง รักขะนัตถายะ"" เป็นคำอาราธนาใด",อาราธนาพระปริตร,อาราธนาศีล,อาราธนาธรรม,อาราธนาพระรัตนตรัย,2," อาราธนาศีล  เพราะเป็นการขอศีลแก่พระสงฆ์ โดยกล่าวคำอาราะนาขั้นต้นด้วย ""มะยัง ภันเต วิสุง วิสุง
รักขนัตถายะ""","ตอบ 2.  อาราธนาศีล  เพราะเป็นการขอศีลแก่พระสงฆ์ โดยกล่าวคำอาราะนาขั้นต้นด้วย ""มะยัง ภันเต วิสุง วิสุง
รักขนัตถายะ""",,,,,,,,,
59,ในการแสดงตนเป็นพุทธมามกะ จะต้องไปประกอบพิธีที่ใด,ที่โรงเรียน,ที่วัด,สถานที่ใดก็ได้ แล้วแต่สะดวก,ที่บ้านของนักเรียน,2,"  ที่วัด  เพราะการประกอบพิธีแสดงการเป็นพุทธมามกะจะต้องไปประกอบที่โบสถ์ภายในวัดเพื่อให้เกิด
ความศักดิ์สิทธิ์และเป็นสิริมงคลแก่ผู้ปฎิบัติ","ตอบ 2.   ที่วัด  เพราะการประกอบพิธีแสดงการเป็นพุทธมามกะจะต้องไปประกอบที่โบสถ์ภายในวัดเพื่อให้เกิด
ความศักดิ์สิทธิ์และเป็นสิริมงคลแก่ผู้ปฎิบัติ",,,,,,,,,
60,ในพิธีทอดผ้าป่า เป็นการนำจีวรไปถวายแด่พระสงฆ์ในลักษณะใด,ถวายโดยเจาะจงผู้รับ,ถวายพระสงฆ์ทุกรูป,ถวายโดยไม่เจาะจงผู้รับ,ถวายพระสงฆ์ที่มีพรรษามากที่สุด,3," ถวายโดยไม่เจาะจงผู้รับ เพราะพิธีทอดผ้าป่า คือืการนจีวรให้พระสงฆโดยไม่เจาะจงแก่พระรูปใด เป็น
พิธีที่สามารถทำได้ตลอดปี","ตอบ 3.  ถวายโดยไม่เจาะจงผู้รับ เพราะพิธีทอดผ้าป่า คือืการนจีวรให้พระสงฆโดยไม่เจาะจงแก่พระรูปใด เป็น
พิธีที่สามารถทำได้ตลอดปี",,,,,,,,,
61,คริสต์ศาสนิกชนทุกคนจะต้องผ่านิธีกรรมแรก คือพิธีใด,ศีลบวช,ศีลแก้บาป,ศีลกำลัง,ศีลล้างบาป,4,"ศีลล้างบาป  เพราะพิธีกรรมแรกก่อนที่จะเข้าเป็นคริสต์ศาสนิกชนจะต้องผ่านพิธีศีลล้างบาปหรือศีลจุ่มเพื่อ
เป็นการล้างบาปและมลทินต่างๆ","ตอบ 4. ศีลล้างบาป  เพราะพิธีกรรมแรกก่อนที่จะเข้าเป็นคริสต์ศาสนิกชนจะต้องผ่านพิธีศีลล้างบาปหรือศีลจุ่มเพื่อ
เป็นการล้างบาปและมลทินต่างๆ",,,,,,,,,
62,ข้อใดไม่จัดเป็นป้ายจราจรตามกฏหมายจราจรทางบก,ป้ายเชิญชวน,ป้ายบังคับ,ป้ายแนะนำ,ป้ายเตือน,1, ป้ายเชิญชวน,ตอบ 1.  ป้ายเชิญชวน,,,,,,,,,
63,เมื่อมีเหตุการณ์คนตายภายในบ้าน เจ้าของบ้านจะต้องปฏิบัติอย่างไร,แจ้งต่อผู้นำชุมชนภายใน 24 ชั่วโมง,แจ้งที่อำเภอหรือเขตภายใน 24 ชั่วโมง,แจ้งต่อผู้ใหญ่บ้านภายใน 24 ชั่วโมง,แจ้งต่อเจ้าหน้าที่ตำรวจภายใน 24 ชั่วโมง,2," แจ้งที่อำเภอหรือเขตภายใน  24  ชั่วโมง  เพราะกฏหมายกำหนดให้เจ้าบ้านต้องแจ้งต่อนายทะเบียนที่
อำเภอหรือเขตที่บ้านตั้งอยู่ภายใน  24 ชั่วโมง","ตอบ 2.  แจ้งที่อำเภอหรือเขตภายใน  24  ชั่วโมง  เพราะกฏหมายกำหนดให้เจ้าบ้านต้องแจ้งต่อนายทะเบียนที่
อำเภอหรือเขตที่บ้านตั้งอยู่ภายใน  24 ชั่วโมง",,,,,,,,,
64,ในวันสำคัญทางพระพุทธศาสนา พิธีกรรมใดที่ไม่มีการเวียนเทียนรอบพระอุโบสถในช่วงค่ำ,วันอัฎฐมีบูชา,วันอาสาฬหบูชา,วันมาฆบูชา,วันวิสาขบูชา,1," อัฏฐมีบูชา  เพราะเป็นวันถวายพระเพลิงพระพุทธสรีระของพระพุทธเจ้า ซึ่งในตอนเช้าชาวพุทธนิยม
ทำบุญตักบาตร ฟังเทศน์ ฟังธรรม รักษาศีล ไม่มีการเวียนเทียน","ตอบ 1.  อัฏฐมีบูชา  เพราะเป็นวันถวายพระเพลิงพระพุทธสรีระของพระพุทธเจ้า ซึ่งในตอนเช้าชาวพุทธนิยม
ทำบุญตักบาตร ฟังเทศน์ ฟังธรรม รักษาศีล ไม่มีการเวียนเทียน",,,,,,,,,
